gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4921765771				CC_BY_NC_4_0	2024-08-04T06:53:34Z		https://www.inaturalist.org/observations/233652740	murphyfox					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/233652740	233652740		murphyfox															PRESENT																							2024-08-04T03:47:31	03:47:31+03:00	217	217	2024	8	4	2024-08-04 01:47:31+01:00											EUROPE				FI	Oulu				Kuhmo, 05, FI								64.132013	30.506295	181.0																															523206497				murphyfox		2024-08-04T06:11:55				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:40:37.987Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:40:37.987Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.2_1	Kehys-Kainuu	LC
4908370277				CC_BY_NC_4_0	2024-08-18T03:05:22Z		https://www.inaturalist.org/observations/227028852	irjukka					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/227028852	227028852		irjukka															PRESENT																							2024-07-03T21:24:34	21:24:34+03:00	185	185	2024	7	3	Wed Jul 03 2024 21:24:34 GMT +0300 (GMT)											EUROPE				FI	Eastern Finland				Hattuvaara								63.233829	30.431322	1231.0																															509701004				Harri Nygren		2024-07-04T03:59:06				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:18:42.423Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:18:42.423Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.1_1	North Karelia	FIN.1.1.4_1	Pielisen Karelia	LC
4904323946				CC_BY_NC_4_0	2024-08-07T03:48:20Z		https://www.inaturalist.org/observations/226766165	Pascal Dubois					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/226766165	226766165		Pascal Dubois															PRESENT																							2024-06-07T07:32	07:32:00+03:00	159	159	2024	6	7	2024/06/07 07:32											EUROPE				FI	Oulu				Kehys-Kainuu, Finlande								64.231857	30.47439																																509152929				Pascal Dubois		2024-07-02T21:16:14				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:19:19.969Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:19:19.969Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.2_1	Kehys-Kainuu	LC
4904313963				CC_BY_NC_4_0	2024-07-02T14:30:32Z		https://www.inaturalist.org/observations/226179747	Pascal Dubois					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/226179747	226179747		Pascal Dubois															PRESENT																							2024-06-02T19:26	19:26:00+03:00	154	154	2024	6	2	2024/06/02 19:26											EUROPE				FI	Oulu				Kehys-Kainuu, Finlande								64.502658	29.987403																																507984389				Pascal Dubois		2024-06-30T13:48:49				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:18:27.271Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:18:27.271Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.2_1	Kehys-Kainuu	LC
4903795011				CC_BY_NC_4_0	2024-07-11T22:17:29Z		https://www.inaturalist.org/observations/226255841	Pascal Dubois					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/226255841	226255841		Pascal Dubois															PRESENT																							2024-06-03T03:17	03:17:00+03:00	155	155	2024	6	3	2024/06/03 03:17											EUROPE				FI	Oulu				Kehys-Kainuu, Finlande								64.502692	29.987389																																508123247				Pascal Dubois		2024-06-30T18:47:28				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:18:16.788Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:18:16.788Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.2_1	Kehys-Kainuu	LC
4903717879				CC_BY_NC_4_0	2024-07-20T02:33:42Z		https://www.inaturalist.org/observations/226656297	Pascal Dubois					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/226656297	226656297		Pascal Dubois															PRESENT																							2024-06-06T23:37	23:37:00+03:00	158	158	2024	6	6	2024/06/06 23:37											EUROPE				FI	Oulu				Kehys-Kainuu, Finlande								64.231887	30.474323																																508939053				Pascal Dubois		2024-07-02T11:22:30				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:42:48.697Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:42:48.697Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.2_1	Kehys-Kainuu	LC
4902065899				CC_BY_NC_4_0	2024-07-20T22:55:47Z		https://www.inaturalist.org/observations/223415686	Marco Ferreira					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 24381m at the request of the observer			https://www.inaturalist.org/observations/223415686	223415686		Marco Ferreira															PRESENT																							2024-06-14		166	166	2024	6	14	2024-06-14											EUROPE				FI	Eastern Finland				North Karelia, FI-IS, FI								63.306544	30.405827	24381.0																															502336019				Marco Ferreira		2024-06-17T20:50:40				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	GB	2024-08-29T06:17:23.942Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:17:23.942Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	EUROPE	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.1_1	North Karelia	FIN.1.1.4_1	Pielisen Karelia	LC
4900867073				CC_BY_NC_4_0	2024-07-20T22:56:01Z		https://www.inaturalist.org/observations/223415269	Marco Ferreira					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 24381m at the request of the observer			https://www.inaturalist.org/observations/223415269	223415269		Marco Ferreira															PRESENT																							2024-06-15		167	167	2024	6	15	2024-06-15											EUROPE				FI	Eastern Finland				North Karelia, FI-IS, FI								63.294153	30.537309	24381.0																															502335172				Marco Ferreira		2024-06-17T20:48:39				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	GB	2024-08-29T05:38:09.519Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:38:09.519Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	EUROPE	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.1_1	North Karelia	FIN.1.1.4_1	Pielisen Karelia	LC
4863478942				CC_BY_NC_4_0	2024-07-15T03:58:11Z		https://www.inaturalist.org/observations/215497295	Royle Safaris					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/215497295	215497295		Royle Safaris						Adult									PRESENT								Photographer JC Suffern - client of Royle Safaris on Tour															2022-05-06T15:10	15:10:00+03:00	126	126	2022	5	6	2022/05/06 3:10 PM											EUROPE				FI	Eastern Finland				Pielinen Karelia, Finland								63.394889	29.966028	7813.0																															486546455				Royle Safaris		2024-05-13T14:15:56				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:16:26.569Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:16:26.569Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.1_1	North Karelia	FIN.1.1.4_1	Pielisen Karelia	LC
4852863378				CC_BY_NC_4_0	2024-04-22T11:46:10Z		https://www.inaturalist.org/observations/208654308	Teppo Mutanen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/208654308	208654308		Teppo Mutanen															PRESENT								Jäljet															2024-04-21T13:03:42	13:03:42+03:00	112	112	2024	4	21	2024-04-21 13:03:42											EUROPE				FI	Oulu				91900 Liminka, Suomi								64.757858	25.238554	159.0																															473906008				Teppo Mutanen		2024-04-22T05:57:43				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	FI	2024-08-29T05:35:59.072Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:35:59.072Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	FIN	Finland	FIN.3_1	Oulu	FIN.3.2_1	Northern Ostrobothnia	FIN.3.2.3_1	Oulu	LC
4852623647				CC_BY_4_0	2024-07-19T22:28:04Z		https://www.inaturalist.org/observations/212310664	Linda Lötjönen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 24583m at the request of the observer			https://www.inaturalist.org/observations/212310664	212310664		Linda Lötjönen						Adult									PRESENT								Trail camera: Bolyguard SG2060-T The lynx marked the snow pile twice during the winter. I set up the camera there and the wolverine went to investigate the same place the lynx had visited. https://youtu.be/WtgzmSxEMPc															2024-04-26T20:00	20:00:00+03:00	117	117	2024	4	26	2024/04/26 8:00 PM											EUROPE				FI	Eastern Finland				North Karelia, FI-IS, FI								61.951816	30.166489	24583.0																															479688482				Linda Lötjönen		2024-04-30T17:13:53				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	FI	2024-08-29T05:39:31.963Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:39:31.963Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.1_1	North Karelia	FIN.1.1.3_1	Middle Karelia	LC
4846863971				CC_BY_NC_4_0	2024-06-02T03:05:54Z		https://www.inaturalist.org/observations/203772942	tidenberg					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/203772942	203772942		tidenberg															PRESENT																							2024-03-21T20:24	20:24:00+02:00	81	81	2024	3	21	2024-03-21 20:24:00+02:00											EUROPE				FI	Eastern Finland				Naarajärvi, 04, FI								62.322693	27.010358	10605.0																															469615582				Kauko Paltta		2024-04-11T18:52:58				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	FI	2024-08-29T05:34:19.384Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:34:19.384Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.4_1	Southern Savonia	FIN.1.4.3_1	Pieksämäki	LC
4607521731				CC_BY_NC_4_0	2024-05-02T15:14:34Z		https://www.inaturalist.org/observations/204612975	tanemann					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 24554m at the request of the observer			https://www.inaturalist.org/observations/204612975	204612975		tanemann															PRESENT																							2024-03-30T16:20	16:20:00+02:00	90	90	2024	3	30	2024-03-30 16:20:00											EUROPE				FI	Western Finland				Pirkanmaa, FI-LS, FI								62.031576	22.961101	24554.0																															464997211				tanemann		2024-03-30T20:04:31				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	FI	2024-08-29T05:40:57.547Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:40:57.547Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	FIN	Finland	FIN.5_1	Western Finland	FIN.5.6_1	Pirkanmaa	FIN.5.6.2_1	North Western Pirkanm	LC
4606787210				CC_BY_NC_4_0	2024-03-31T05:03:16Z		https://www.inaturalist.org/observations/204523059	spinde					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/204523059	204523059		spinde															PRESENT																							2024-03-30T11:02:40	11:02:40+02:00	90	90	2024	3	30	2024-03-30 11:02:40											EUROPE				FI	Eastern Finland				74300 Sonkajärvi, Suomi								63.729546	27.577875																																464817420				spinde		2024-03-30T09:31:48				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:34:30.986Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:34:30.986Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	FIN	Finland	FIN.1_1	Eastern Finland	FIN.1.2_1	North Savonia	FIN.1.2.3_1	Upper Savonia	LC
4606667000				CC_BY_NC_4_0	2024-03-28T11:04:30Z		https://www.inaturalist.org/observations/204244413	Ирина Бортникова					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/204244413	204244413		Ирина Бортникова															PRESENT																							2024-03-19T14:15:33	14:15:33+03:00	79	79	2024	3	19	2024-03-19 14:15:33											EUROPE				RU	Arkhangel'sk				Архангельская обл., Россия, 163554								64.975537	37.429861	5109.0																															464147906				Ирина Бортникова		2024-03-28T08:51:50				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:15:18.116Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:15:18.116Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	RUS	Russia	RUS.4_1	Arkhangel'sk	RUS.4.20_1	Primorskiy rayon	RUS.4.20.1_1		LC
4535638708				CC_BY_NC_4_0	2024-03-01T06:33:24Z		https://www.inaturalist.org/observations/200825105	Pertti Kilpeläinen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/200825105	200825105		Pertti Kilpeläinen															PRESENT								Jäljet hangella mäntykankaalla. Edennyt juosten.															2024-02-29T11:16:25	11:16:25+02:00	60	60	2024	2	29	2024-02-29 11:16:25											EUROPE				FI	Oulu				Harjula, Takalantie, 88600 Sotkamo, Suomi								64.044617	28.630055	2.0																															455617241				Pertti Kilpeläinen		2024-02-29T16:26:15				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	FI	2024-08-29T05:39:54.335Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T05:39:54.335Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.1_1	Kajaani	LC
4522539777				CC_BY_NC_4_0	2024-07-21T13:38:18Z		https://www.inaturalist.org/observations/198622661	Птицы Челябинской области					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/198622661	198622661		Птицы Челябинской области						Adult									PRESENT								Источник https://vk.com/wall-189482076_3765															2024-02-05		36	36	2024	2	5	2024/02/05											EUROPE				RU	Chelyabinsk				Катав-Ивановский р-н, Челябинская обл., Россия								54.615533	58.614623	7000.0																															449364836				Птицы Челябинской области		2024-02-07T03:52:47				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:14:28.570Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:14:28.570Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	RUS	Russia	RUS.11_1	Chelyabinsk	RUS.11.18_1	Katav-Ivanovskiy rayon	RUS.11.18.1_1		LC
4516383809				CC_BY_NC_4_0	2024-01-22T04:15:08Z		https://www.inaturalist.org/observations/195363287	Pertti Kilpeläinen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/195363287	195363287		Pertti Kilpeläinen															PRESENT								Jäljet Alajärven rannassa ja järvenjäällä															2023-12-31T12:31:41	12:31:41+02:00	365	365	2023	12	31	2023-12-31 12:31:41											EUROPE				FI	Oulu				Alajärvi, Särkiniemi, 88600 Sotkamo, Suomi								64.039001	28.601036	2.0																															439313422				Pertti Kilpeläinen		2023-12-31T13:06:10				41852								Gulo gulo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Gulo	Gulo			gulo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	FI	2024-08-29T06:14:05.047Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5219073	5219073	1	44	359	732	5307	5219072		5219073	Gulo gulo	Gulo gulo (Linnaeus, 1758)	Gulo gulo		DWC_ARCHIVE	2024-08-29T06:14:05.047Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	FIN	Finland	FIN.3_1	Oulu	FIN.3.1_1	Kainuu	FIN.3.1.1_1	Kajaani	LC
